,YEAR,MONTH,DAY,SST,Dates
0,1981,1,1,,1/1/81
1,1981,1,2,,1/2/81
2,1981,1,3,,1/3/81
3,1981,1,4,,1/4/81
4,1981,1,5,,1/5/81
5,1981,1,6,,1/6/81
6,1981,1,7,,1/7/81
7,1981,1,8,,1/8/81
8,1981,1,9,,1/9/81
9,1981,1,10,,1/10/81
10,1981,1,11,,1/11/81
11,1981,1,12,,1/12/81
12,1981,1,13,,1/13/81
13,1981,1,14,,1/14/81
14,1981,1,15,,1/15/81
15,1981,1,16,,1/16/81
16,1981,1,17,,1/17/81
17,1981,1,18,,1/18/81
18,1981,1,19,,1/19/81
19,1981,1,20,,1/20/81
20,1981,1,21,,1/21/81
21,1981,1,22,,1/22/81
22,1981,1,23,,1/23/81
23,1981,1,24,,1/24/81
24,1981,1,25,,1/25/81
25,1981,1,26,,1/26/81
26,1981,1,27,,1/27/81
27,1981,1,28,,1/28/81
28,1981,1,29,,1/29/81
29,1981,1,30,,1/30/81
30,1981,1,31,,1/31/81
31,1981,2,1,,2/1/81
32,1981,2,2,,2/2/81
33,1981,2,3,,2/3/81
34,1981,2,4,,2/4/81
35,1981,2,5,,2/5/81
36,1981,2,6,,2/6/81
37,1981,2,7,,2/7/81
38,1981,2,8,,2/8/81
39,1981,2,9,,2/9/81
40,1981,2,10,,2/10/81
41,1981,2,11,,2/11/81
42,1981,2,12,,2/12/81
43,1981,2,13,,2/13/81
44,1981,2,14,,2/14/81
45,1981,2,15,,2/15/81
46,1981,2,16,,2/16/81
47,1981,2,17,,2/17/81
48,1981,2,18,,2/18/81
49,1981,2,19,,2/19/81
50,1981,2,20,,2/20/81
51,1981,2,21,,2/21/81
52,1981,2,22,,2/22/81
53,1981,2,23,,2/23/81
54,1981,2,24,,2/24/81
55,1981,2,25,,2/25/81
56,1981,2,26,,2/26/81
57,1981,2,27,,2/27/81
58,1981,2,28,,2/28/81
59,1981,3,1,,3/1/81
60,1981,3,2,,3/2/81
61,1981,3,3,,3/3/81
62,1981,3,4,,3/4/81
63,1981,3,5,,3/5/81
64,1981,3,6,,3/6/81
65,1981,3,7,,3/7/81
66,1981,3,8,,3/8/81
67,1981,3,9,,3/9/81
68,1981,3,10,,3/10/81
69,1981,3,11,,3/11/81
70,1981,3,12,,3/12/81
71,1981,3,13,,3/13/81
72,1981,3,14,,3/14/81
73,1981,3,15,,3/15/81
74,1981,3,16,,3/16/81
75,1981,3,17,,3/17/81
76,1981,3,18,,3/18/81
77,1981,3,19,,3/19/81
78,1981,3,20,,3/20/81
79,1981,3,21,,3/21/81
80,1981,3,22,,3/22/81
81,1981,3,23,,3/23/81
82,1981,3,24,,3/24/81
83,1981,3,25,,3/25/81
84,1981,3,26,,3/26/81
85,1981,3,27,,3/27/81
86,1981,3,28,,3/28/81
87,1981,3,29,,3/29/81
88,1981,3,30,,3/30/81
89,1981,3,31,,3/31/81
90,1981,4,1,10.17391304,4/1/81
91,1981,4,2,9.975,4/2/81
92,1981,4,3,9.2625,4/3/81
93,1981,4,4,9.35,4/4/81
94,1981,4,5,9.3625,4/5/81
95,1981,4,6,9.125,4/6/81
96,1981,4,7,8.966666667,4/7/81
97,1981,4,8,8.5875,4/8/81
98,1981,4,9,8.275,4/9/81
99,1981,4,10,8.404166667,4/10/81
100,1981,4,11,8.695833333,4/11/81
101,1981,4,12,8.8375,4/12/81
102,1981,4,13,8.4625,4/13/81
103,1981,4,14,8.704166667,4/14/81
104,1981,4,15,8.879166667,4/15/81
105,1981,4,16,10.05217391,4/16/81
106,1981,4,17,9.504166667,4/17/81
107,1981,4,18,8.983333333,4/18/81
108,1981,4,19,9.066666667,4/19/81
109,1981,4,20,9.3125,4/20/81
110,1981,4,21,9.325,4/21/81
111,1981,4,22,9.116666667,4/22/81
112,1981,4,23,9.369565217,4/23/81
113,1981,4,24,9.170833333,4/24/81
114,1981,4,25,9.1375,4/25/81
115,1981,4,26,9.1625,4/26/81
116,1981,4,27,9.108333333,4/27/81
117,1981,4,28,8.941666667,4/28/81
118,1981,4,29,9.129166667,4/29/81
119,1981,4,30,9.454166667,4/30/81
120,1981,5,1,9.216666667,5/1/81
121,1981,5,2,9.275,5/2/81
122,1981,5,3,8.9,5/3/81
123,1981,5,4,8.7375,5/4/81
124,1981,5,5,8.583333333,5/5/81
125,1981,5,6,8.5625,5/6/81
126,1981,5,7,8.483333333,5/7/81
127,1981,5,8,8.708333333,5/8/81
128,1981,5,9,8.3375,5/9/81
129,1981,5,10,8.258333333,5/10/81
130,1981,5,11,8.454166667,5/11/81
131,1981,5,12,8.2625,5/12/81
132,1981,5,13,8.604166667,5/13/81
133,1981,5,14,8.7,5/14/81
134,1981,5,15,8.9125,5/15/81
135,1981,5,16,8.95,5/16/81
136,1981,5,17,9.004166667,5/17/81
137,1981,5,18,9.758333333,5/18/81
138,1981,5,19,10.5875,5/19/81
139,1981,5,20,10.5,5/20/81
140,1981,5,21,9.545833333,5/21/81
141,1981,5,22,9.445833333,5/22/81
142,1981,5,23,9.204166667,5/23/81
143,1981,5,24,9.458333333,5/24/81
144,1981,5,25,9.845833333,5/25/81
145,1981,5,26,10.11666667,5/26/81
146,1981,5,27,9.813043478,5/27/81
147,1981,5,28,9.683333333,5/28/81
148,1981,5,29,9.513043478,5/29/81
149,1981,5,30,9.620833333,5/30/81
150,1981,5,31,9.575,5/31/81
151,1981,6,1,9.5,6/1/81
152,1981,6,2,9.491666667,6/2/81
153,1981,6,3,9.545833333,6/3/81
154,1981,6,4,9.491666667,6/4/81
155,1981,6,5,9.308333333,6/5/81
156,1981,6,6,9.170833333,6/6/81
157,1981,6,7,9.4875,6/7/81
158,1981,6,8,10.74583333,6/8/81
159,1981,6,9,10.2,6/9/81
160,1981,6,10,9.858333333,6/10/81
161,1981,6,11,9.608333333,6/11/81
162,1981,6,12,9.591666667,6/12/81
163,1981,6,13,9.408333333,6/13/81
164,1981,6,14,9.375,6/14/81
165,1981,6,15,9.086363636,6/15/81
166,1981,6,16,9.175,6/16/81
167,1981,6,17,9.1875,6/17/81
168,1981,6,18,9.054166667,6/18/81
169,1981,6,19,8.8,6/19/81
170,1981,6,20,8.691666667,6/20/81
171,1981,6,21,8.975,6/21/81
172,1981,6,22,8.9,6/22/81
173,1981,6,23,8.675,6/23/81
174,1981,6,24,9.3125,6/24/81
175,1981,6,25,9.870833333,6/25/81
176,1981,6,26,9.008695652,6/26/81
177,1981,6,27,8.925,6/27/81
178,1981,6,28,9.4625,6/28/81
179,1981,6,29,9.865217391,6/29/81
180,1981,6,30,10.54166667,6/30/81
181,1981,7,1,9.504166667,7/1/81
182,1981,7,2,10.24583333,7/2/81
183,1981,7,3,11.02608696,7/3/81
184,1981,7,4,10.71666667,7/4/81
185,1981,7,5,11.3625,7/5/81
186,1981,7,6,11.10416667,7/6/81
187,1981,7,7,10.59166667,7/7/81
188,1981,7,8,10.23333333,7/8/81
189,1981,7,9,9.954166667,7/9/81
190,1981,7,10,9.583333333,7/10/81
191,1981,7,11,9.254166667,7/11/81
192,1981,7,12,9.243478261,7/12/81
193,1981,7,13,9.3,7/13/81
194,1981,7,14,9.491666667,7/14/81
195,1981,7,15,9.5,7/15/81
196,1981,7,16,9.4375,7/16/81
197,1981,7,17,9.466666667,7/17/81
198,1981,7,18,9.395833333,7/18/81
199,1981,7,19,9.483333333,7/19/81
200,1981,7,20,9.641666667,7/20/81
201,1981,7,21,9.641666667,7/21/81
202,1981,7,22,9.7,7/22/81
203,1981,7,23,10.05,7/23/81
204,1981,7,24,10.3375,7/24/81
205,1981,7,25,9.895833333,7/25/81
206,1981,7,26,10.09166667,7/26/81
207,1981,7,27,10.56666667,7/27/81
208,1981,7,28,11.0875,7/28/81
209,1981,7,29,11.13333333,7/29/81
210,1981,7,30,10.78333333,7/30/81
211,1981,7,31,10.99583333,7/31/81
212,1981,8,1,10.525,8/1/81
213,1981,8,2,10.55416667,8/2/81
214,1981,8,3,10.4375,8/3/81
215,1981,8,4,9.75,8/4/81
216,1981,8,5,9.670833333,8/5/81
217,1981,8,6,9.645833333,8/6/81
218,1981,8,7,9.708333333,8/7/81
219,1981,8,8,9.8875,8/8/81
220,1981,8,9,9.983333333,8/9/81
221,1981,8,10,10.325,8/10/81
222,1981,8,11,10.69583333,8/11/81
223,1981,8,12,10.25416667,8/12/81
224,1981,8,13,10.30833333,8/13/81
225,1981,8,14,10.72916667,8/14/81
226,1981,8,15,11.91666667,8/15/81
227,1981,8,16,12.00833333,8/16/81
228,1981,8,17,11.5875,8/17/81
229,1981,8,18,10.9375,8/18/81
230,1981,8,19,10.92083333,8/19/81
231,1981,8,20,11.07083333,8/20/81
232,1981,8,21,10.84583333,8/21/81
233,1981,8,22,10.65416667,8/22/81
234,1981,8,23,10.73333333,8/23/81
235,1981,8,24,11.18333333,8/24/81
236,1981,8,25,11.1125,8/25/81
237,1981,8,26,10.83333333,8/26/81
238,1981,8,27,10.325,8/27/81
239,1981,8,28,10.12083333,8/28/81
240,1981,8,29,9.904166667,8/29/81
241,1981,8,30,9.795833333,8/30/81
242,1981,8,31,9.725,8/31/81
243,1981,9,1,9.65,9/1/81
244,1981,9,2,9.829166667,9/2/81
245,1981,9,3,10.4,9/3/81
246,1981,9,4,11.00833333,9/4/81
247,1981,9,5,10.59166667,9/5/81
248,1981,9,6,11.0952381,9/6/81
249,1981,9,7,11.17777778,9/7/81
250,1981,9,8,11.44782609,9/8/81
251,1981,9,9,11.40833333,9/9/81
252,1981,9,10,11.48333333,9/10/81
253,1981,9,11,11.93333333,9/11/81
254,1981,9,12,12.95416667,9/12/81
255,1981,9,13,13.34583333,9/13/81
256,1981,9,14,13.4625,9/14/81
257,1981,9,15,13.6375,9/15/81
258,1981,9,16,13.84166667,9/16/81
259,1981,9,17,13.75416667,9/17/81
260,1981,9,18,13.30416667,9/18/81
261,1981,9,19,12.8875,9/19/81
262,1981,9,20,11.37083333,9/20/81
263,1981,9,21,10.5625,9/21/81
264,1981,9,22,10.14166667,9/22/81
